GSM1020640_mouse_brain_1.fastq.gz	GSM1020640_brain	1	
GSM1020640_mouse_brain_2.fastq.gz	GSM1020640_brain	2
GSM1020641_mouse_colon_1.fastq.gz	GSM1020641_colon	1
GSM1020641_mouse_colon_2.fastq.gz	GSM1020641_colon	2
GSM1020642_mouse_heart_1.fastq.gz	GSM1020642_heart	1
GSM1020642_mouse_heart_2.fastq.gz	GSM1020642_heart	2
GSM1020643_mouse_kidney_1.fastq.gz	GSM1020643_kidney	1
GSM1020643_mouse_kidney_2.fastq.gz	GSM1020643_kidney	2
GSM1020644_mouse_liver_1.fastq.gz	GSM1020644_liver	1
GSM1020644_mouse_liver_2.fastq.gz	GSM1020644_liver	2
GSM1020645_mouse_lung_1.fastq.gz	GSM1020645_lung	1
GSM1020645_mouse_lung_2.fastq.gz	GSM1020645_lung	2
GSM1020646_mouse_skm_1.fastq.gz	GSM1020646_skm	1
GSM1020646_mouse_skm_2.fastq.gz	GSM1020646_skm	2
GSM1020647_mouse_spleen_1.fastq.gz	GSM1020647_spleen	1
GSM1020647_mouse_spleen_2.fastq.gz	GSM1020647_spleen	2
GSM1020648_mouse_testes_1.fastq.gz	GSM1020648_testes	1
GSM1020648_mouse_testes_2.fastq.gz	GSM1020648_testes	2
GSM1020649_mouse_brain_1.fastq.gz	GSM1020649_brain	1
GSM1020649_mouse_brain_2.fastq.gz	GSM1020649_brain	2
GSM1020650_mouse_colon_1.fastq.gz	GSM1020650_colon	1
GSM1020650_mouse_colon_2.fastq.gz	GSM1020650_colon	2
GSM1020651_mouse_kidney_1.fastq.gz	GSM1020651_kidney	1
GSM1020651_mouse_kidney_2.fastq.gz	GSM1020651_kidney	2
GSM1020652_mouse_liver_1.fastq.gz	GSM1020652_liver	1
GSM1020652_mouse_liver_2.fastq.gz	GSM1020652_liver	2
GSM1020653_mouse_lung_1.fastq.gz	GSM1020653_lung	1
GSM1020653_mouse_lung_2.fastq.gz	GSM1020653_lung	2
GSM1020654_mouse_skm_1.fastq.gz	GSM1020654_skm	1
GSM1020654_mouse_skm_2.fastq.gz	GSM1020654_skm	2
GSM1020655_mouse_spleen_1.fastq.gz	GSM1020655_spleen	1
GSM1020655_mouse_spleen_2.fastq.gz	GSM1020655_spleen	2
GSM1020656_mouse_testes_1.fastq.gz	GSM1020656_testes	1
GSM1020656_mouse_testes_2.fastq.gz	GSM1020656_testes	2
GSM1020657_mouse_brain_1.fastq.gz	GSM1020657_brain	1
GSM1020657_mouse_brain_2.fastq.gz	GSM1020657_brain	2
GSM1020658_mouse_colon_1.fastq.gz	GSM1020658_colon	1
GSM1020658_mouse_colon_2.fastq.gz	GSM1020658_colon	2
GSM1020659_mouse_heart_1.fastq.gz	GSM1020659_heart	1
GSM1020659_mouse_heart_2.fastq.gz	GSM1020659_heart	2
GSM1020660_mouse_kidney_1.fastq.gz	GSM1020660_kidney	1
GSM1020660_mouse_kidney_2.fastq.gz	GSM1020660_kidney	2
GSM1020661_mouse_liver_1.fastq.gz	GSM1020661_liver	1
GSM1020661_mouse_liver_2.fastq.gz	GSM1020661_liver	2
GSM1020662_mouse_lung_1.fastq.gz	GSM1020662_lung	1
GSM1020662_mouse_lung_2.fastq.gz	GSM1020662_lung	2
GSM1020663_mouse_skm_1.fastq.gz	GSM1020663_skm	1
GSM1020663_mouse_skm_2.fastq.gz	GSM1020663_skm	2
GSM1020664_mouse_spleen_1.fastq.gz	GSM1020664_spleen	1
GSM1020664_mouse_spleen_2.fastq.gz	GSM1020664_spleen	2
GSM1020665_mouse_testes_1.fastq.gz	GSM1020665_testes	1
GSM1020665_mouse_testes_2.fastq.gz	GSM1020665_testes	2
